year,month,date,prefectureNameJ,prefectureNameE,prefectureNumber,newTestedPositive,aveNewTestedPositive,testedPositive,newPeopleTested,aveNewPeopleTested,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber
2020,3,18,北海道,Hokkaido,01,2.0,5.142857142857143,154,72.0,59.0,1587.0,77.0,6,73.0,6,
2020,3,19,北海道,Hokkaido,01,3.0,4.142857142857143,157,65.0,57.42857142857143,1652.0,80.0,6,81.0,6,
2020,3,20,北海道,Hokkaido,01,1.0,3.0,158,55.0,54.857142857142854,1707.0,82.0,8,84.0,6,
2020,3,21,北海道,Hokkaido,01,1.0,2.142857142857143,159,48.0,49.285714285714285,1755.0,71.0,8,87.0,6,
2020,3,22,北海道,Hokkaido,01,3.0,2.0,162,20.0,44.714285714285715,1775.0,72.0,7,96.0,6,
2020,3,23,北海道,Hokkaido,01,0.0,1.4285714285714286,162,19.0,43.42857142857143,1794.0,65.0,7,97.0,6,
2020,3,24,北海道,Hokkaido,01,1.0,1.5714285714285714,163,27.0,43.714285714285715,1821.0,63.0,6,100.0,6,
2020,3,25,北海道,Hokkaido,01,4.0,1.8571428571428572,167,67.0,43.0,1888.0,61.0,7,105.0,7,
2020,3,26,北海道,Hokkaido,01,1.0,1.5714285714285714,168,41.0,39.57142857142857,1929.0,62.0,7,121.0,7,0.5
2020,3,27,北海道,Hokkaido,01,1.0,1.5714285714285714,169,47.0,38.42857142857143,1976.0,47.0,7,123.0,7,0.63
2020,3,28,北海道,Hokkaido,01,3.0,1.8571428571428572,172,38.0,37.0,2014.0,44.0,7,124.0,7,0.9
2020,3,29,北海道,Hokkaido,01,4.0,2.0,176,50.0,41.285714285714285,2064.0,48.0,9,125.0,7,1.0
2020,3,30,北海道,Hokkaido,01,1.0,2.142857142857143,177,12.0,40.285714285714285,2076.0,49.0,6,131.0,7,1.34
2020,3,31,北海道,Hokkaido,01,0.0,2.0,177,20.0,39.285714285714285,2096.0,46.0,6,132.0,7,1.19
2020,4,1,北海道,Hokkaido,01,5.0,2.142857142857143,182,68.0,39.42857142857143,2164.0,44.0,6,133.0,7,1.11
2020,4,2,北海道,Hokkaido,01,3.0,2.4285714285714284,185,53.0,41.142857142857146,2217.0,46.0,5,135.0,8,1.36
2020,4,3,北海道,Hokkaido,01,5.0,3.0,190,79.0,45.714285714285715,2296.0,52.0,5,139.0,8,1.59
2020,4,4,北海道,Hokkaido,01,3.0,3.0,193,67.0,49.857142857142854,2363.0,55.0,6,142.0,8,1.41
