Prefecture,Population
Hokkaido,5200000.0
Aomori,1200000.0
Iwate,1200000.0
Miyagi,2300000.0
Akita,960000.0
Yamagata,1000000.0
Fukushima,1800000.0
Ibaraki,2800000.0
Tochigi,1900000.0
Gunma,1900000.0
Saitama,7300000.0
Chiba,6200000.0
Tokyo,13000000.0
Kanagawa,9100000.0
Niigata,2200000.0
Toyama,1000000.0
Ishikawa,1100000.0
Fukui,760000.0
Yamanashi,810000.0
Nagano,2000000.0
Gifu,1900000.0
Shizuoka,3600000.0
Aichi,7500000.0
Mie,1700000.0
Shiga,1400000.0
Kyoto,2500000.0
Osaka,8800000.0
Hyogo,5400000.0
Nara,1300000.0
Wakayama,920000.0
Tottori,550000.0
Shimane,670000.0
Okayama,1800000.0
Hiroshima,2800000.0
Yamaguchi,1300000.0
Tokushima,720000.0
Kagawa,950000.0
Ehime,1300000.0
Kochi,690000.0
Fukuoka,5100000.0
Saga,810000.0
Nagasaki,1300000.0
Kumamoto,1700000.0
Oita,1100000.0
Miyazaki,1000000.0
Kagoshima,1600000.0
Okinawa,1400000.0
